Address,TotalPrice,City,Cust First Name,Cust Full Name,Cust Last Name,CustNum (Orders),Cust Num,Date of Purchase,Number of Records,Order Num,Phone,Price,Product Category,Product Name,Quantity,SKU (Products),SKU,State,ZIP Code
5733 Walton Center,1239,Jamaica,Astra,Astra Edwards,Edwards,54,54,21-10-2018,1,248,(177) 600-1729,88.5,Solar panels,K-Eco 300,14,KE300,KE300,New York,11470
4829 Badeau Parkway,972.18,Chattanooga,Sydney,Sydney Bartlett,Bartlett,2,2,26-10-2018,1,249,(982) 231-7357,108.02,Wind harvester,K-Eco Blast 100,9,KEBL100,KEBL100,Tennessee,37405
6502 Montana Junction,4067.5,New Orleans,Arden,Arden Bennett,Bennett,28,28,28-10-2018,1,250,(959) 194-1875,813.5,Batteries,K-Eco 12-volt Lithium-ion solar backup battery,5,KE12Li,KE12Li,Louisiana,70174
68316 Emmet Trail,40573,San Diego,Jael,Jael Rice,Rice,42,42,28-10-2018,1,251,(394) 444-6027,3121,Batteries,K-Eco 18-volt Lithium-ion solar backup battery,13,KE18Li,KE18Li,California,92153
2 Nevada Junction,756.14,Pittsburgh,Zephr,Zephr Mcgee,Mcgee,44,44,28-10-2018,1,252,(708) 764-4578,108.02,Wind harvester,K-Eco Blast 100,7,KEBL100,KEBL100,Pennsylvania,15235
7189 Pankratz Point,42,Dayton,Jaime,Jaime Craig,Craig,66,66,01-11-2018,1,253,(375) 915-2089,3,Lightbulbs,K-Eco Energy Bulbs 13W  (8-pack),14,KE13W08,KE13W08,Ohio,45454
0864 Bluestem Center,44.58,Sacramento,Barrett,Barrett Howell,Howell,35,35,02-11-2018,1,254,(538) 115-5665,7.43,Lightbulbs,K-Eco Energy Bulbs 20W  (8-pack),6,KE20W08,KE20W08,California,95823
4 Manufacturers Pass,118.08,Greensboro,Kyla,Kyla Hebert,Hebert,61,61,03-11-2018,1,255,(715) 654-8147,6.56,Batteries,K-Eco AA  NiMH rechargeable batteries (12-pack),18,KEAA12,KEAA12,North Carolina,27499
7316 Dryden Road,26.62,Memphis,Coby,Coby Lucas,Lucas,11,11,06-11-2018,1,256,(177) 816-3420,26.62,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (12-pack),1,KEPATH12,KEPATH12,Tennessee,38114
22 Superior Way,89.46,Boston,Graham,Graham Frederick,Frederick,77,77,08-11-2018,1,257,(707) 474-5854,6.39,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery (4-pack),14,KEPATH04,KEPATH04,Massachusetts,02203
89318 Heffernan Crossing,15.44,Santa Barbara,Wynter,Wynter Roberts,Roberts,37,37,11-11-2018,1,258,(721) 262-6519,3.86,Batteries,K-Eco AA  NiMH rechargeable batteries (6-pack),4,KEAA06,KEAA06,California,93150
6502 Montana Junction,50.24,New Orleans,Arden,Arden Bennett,Bennett,28,28,15-11-2018,1,259,(959) 194-1875,3.14,Lightbulbs,K-Eco Energy Bulbs 9W  (8-pack),16,KE9W08,KE9W08,Louisiana,70174
99 Sage Street,7494.2,Reno,Nolan,Nolan Slater,Slater,5,5,18-11-2018,1,260,(540) 487-5928,535.3,Solar panels,"K-Eco 325x (same power, smaller footprint)",14,KE325X,KE325X,Nevada,89505
6625 Lukken Circle,27.12,Brooklyn,Amena,Amena Petersen,Petersen,19,19,18-11-2018,1,261,(383) 554-7219,2.26,Landscape lighting,K-Eco Solar Path designer stake lighting w/ rechargeable NiCd battery,12,KEPATH01,KEPATH01,New York,11205
823 Glacier Hill Point,1126.08,San Bernardino,Zena,Zena Washington,Washington,73,73,20-11-2018,1,262,(921) 805-5150,140.76,Solar panels,K-Eco 575,8,KE575,KE575,California,92415
22278 Waubesa Road,89.4,Birmingham,Chastity,Chastity Charles,Charles,78,78,20-11-2018,1,263,(186) 176-2590,5.96,Lightbulbs,K-Eco Energy Bulbs 23W (4-pack),15,KE23W04,KE23W04,Alabama,35225
102 Fallview Terrace,96.59,Minneapolis,Chester,Chester Best,Best,70,70,25-11-2018,1,264,(608) 587-5791,7.43,Lightbulbs,K-Eco Energy Bulbs 20W  (8-pack),13,KE20W08,KE20W08,Minnesota,55441
6 Carioca Crossing,240,Arvada,Derek,Derek Conrad,Conrad,90,90,26-11-2018,1,265,(275) 477-2907,30,Wind harvester,K-Eco Breeze Mini,8,KEBR5,KEBR5,Colorado,80005
289 Porter Crossing,1944.36,Silver Spring,Lunea,Lunea Rios,Rios,36,36,27-11-2018,1,266,(311) 982-5690,108.02,Wind harvester,K-Eco Blast 100,18,KEBL100,KEBL100,Maryland,20918
6755 Burrows Center,986.72,Columbus,Rose,Rose Holcomb,Holcomb,40,40,27-11-2018,1,267,(129) 823-5800,70.48,Wind harvester,K-Eco Blast 200,14,KEBL200,KEBL200,Georgia,31914
7189 Pankratz Point,281.52,Dayton,Jaime,Jaime Craig,Craig,66,66,10-12-2018,1,268,(375) 915-2089,140.76,Solar panels,K-Eco 575,2,KE575,KE575,Ohio,45454
6755 Burrows Center,21.2,Columbus,Rose,Rose Holcomb,Holcomb,40,40,12-12-2018,1,269,(129) 823-5800,2.65,Batteries,K-Eco  AAA NiMH rechargeable batteries  (6-pack),8,KEAAA06,KEAAA06,Georgia,31914
7271 Ramsey Way,6,Washington,Gray,Gray Gutierrez,Gutierrez,87,87,16-12-2018,1,270,(496) 849-2265,3,Lightbulbs,K-Eco Energy Bulbs 13W  (8-pack),2,KE13W08,KE13W08,District of Columbia,20420
62 Warner Place,351.9,Washington,Raja,Raja Wells,Wells,25,25,18-12-2018,1,271,(244) 178-1821,19.55,Solar panels,K-Eco Mini,18,KE5,KE5,District of Columbia,20525
88 Burning Wood Junction,15.55,Anaheim,Adara,Adara Langley,Langley,26,26,27-12-2018,1,272,(696) 810-8990,3.11,Batteries,K-Eco  AAA NiMH rechargeable batteries (12-pack),5,KEAAA12,KEAAA12,California,92812
4829 Badeau Parkway,5740,Chattanooga,Sydney,Sydney Bartlett,Bartlett,2,2,27-12-2018,1,273,(982) 231-7357,820,Grid Tie Inverters,K-Invert 4K,7,KI4K,KI4K,Tennessee,37405
795 Troy Terrace,1404.26,Atlanta,Kyle,Kyle Keith,Keith,69,69,29-12-2018,1,274,(578) 125-5684,108.02,Wind harvester,K-Eco Blast 100,13,KEBL100,KEBL100,Georgia,31106
